"gene_ID","ES1060192","ES1081720","ES1081721","ES1081722","ES1081723","ES1081714","ES1081725","ES1081726","ES1060191","ES1060193","ES1081719","ES1060195","ES1081724","ES1081708","ES1081709","ES1081715","ES1081716","ES1081710","ES1081711","ES1081717","ES1081712","ES1060211","ES1060213","ES1081713","ES1060215","ES1060197","ES1060217","ES1060199","ES1081741","ES1060219","ES1072184","ES1072185","ES1072186","ES1072187","ES1072192","ES1072193","ES1072194","ES1072195","ES1072196","ES1072197","ES1072198","ES1072199","ES1072200","ES1072201","ES1072202","ES1072203","ES1072204","ES1072205","ES1072206","ES1072207","ES1072188","ES1072189","ES1072190","ES1072191","ES1072183","ES1072181","ES1072182"
"AGPAT1",2.6706712245,3.7996547159,3.1928706315,4.3311175782,4.3103867588,4.734725498,3.0131418516,4.5263064149,1.9527930646,2.6567642602,5.3187692505,2.1594025362,4.0834151648,3.0162000251,3.8289367523,3.7923377422,3.5650097724,2.2512965423,2.4357905009,2.7251458488,2.7070508047,1.5117147642,1.7412988467,3.6562961335,1.7782599939,2.0946655326,2.2044048928,1.65274353,2.9948061731,1.577455082,4.787535931,4.199152318,3.743051062,5.6586896977,4.6343738234,3.1226405856,6.1858460479,3.3568483855,3.9731807494,3.6720556376,4.9696339394,4.2989296428,3.5203781071,4.08963969,2.8598268352,4.7305279625,4.5504572284,4.249017832,4.2447976819,3.685267499,4.0255816083,2.8148160605,4.6848331065,4.0353650108,0.3592517503,0.900026845,4.0323138843
"AGPAT3",5.2388214808,7.3968495151,6.3974196485,10.2033550115,6.8011554986,12.4323901265,6.396240469,10.3411913261,7.3501296436,6.1712838387,9.4434340697,6.7559523149,3.7739970909,12.2127739366,11.6930584342,9.7134439286,9.0237285517,7.9030334027,7.1551345963,10.4051023319,10.1531802675,5.6993384215,5.6742708897,14.6816021597,7.2315906418,5.154876457,5.1805875158,8.7256645994,11.0153790273,6.9036857705,5.3046880129,7.5518556199,4.7023465096,5.5630013623,5.6274873199,7.3545677313,7.7441178246,7.4709682056,7.8356573099,11.3569267471,13.6449960221,9.6254654362,7.4863466519,9.0234669655,8.0415568711,8.777215082,8.9706573359,13.3758879209,12.8966386157,13.6372418856,4.4510759942,9.2219374983,8.297719023,9.332270164,12.6433430433,7.5475431284,20.250264873
"AGPAT4-IT1",2.6168477162,0.058854627,0.0630632824,2.2854236667,3.1376901926,1.3597926701,0.3075544198,3.274943182,1.6703742901,2.6213407367,0.3863963657,2.519719993,1.3844764912,0.7571327945,2.4046111036,1.6978696958,1.2761482589,1.0038988376,1.1861792283,0.6542890966,0,2.7280369883,0.3411251262,4.4287836252,2.9242497677,3.4964102544,0.7458157882,2.263540052,2.4830500224,1.6755489274,0,0,0,2.2700239873,0.1225180314,0,0,4.5935990273,0.7908758579,0,1.1862137053,3.9683891727,0.5140388254,0,4.3798573767,3.5212435718,0.6315726107,2.5302590909,2.1689030214,6.7444730323,0.3876238453,1.3205996093,3.6059209209,0.5048620198,0,0.2694852109,3.4483264904
"AGPAT6",10.569911833,10.9610857232,14.4835338593,15.1965833423,15.1529841427,14.9022176293,13.0755201505,14.6930511937,12.5664285467,12.0161652112,15.281277956,9.6660162194,14.373260016,10.9525300994,11.9842323317,14.3632916181,14.5493857338,6.2946593075,8.3138266054,9.3357949087,6.3234108771,10.9555880328,9.5046824373,8.8792663372,10.2638532388,9.8099411817,10.8025280455,12.4802667491,8.8742647289,9.0829598501,10.011375277,14.0529022456,12.9558598174,12.4380174973,7.9427216546,15.3296088515,6.3748374338,10.8036744025,10.8749347245,14.0794012042,12.7008521796,15.5945840223,12.8422947023,9.2044958804,15.9315750321,23.3099069908,10.083871039,18.0920041116,9.9350459221,16.5996781588,10.915880637,9.9688318269,12.436002213,10.9345832599,21.3934049293,9.3017667856,20.9487817506
"AGPHD1",1.307142346,0,7.2686272166,3.3174031846,2.8760140994,3.4347039343,3.9937501465,1.2816006344,4.9821568422,2.8971381695,0.1559551596,2.2920193779,4.8987430821,4.0914765672,5.537156951,4.6241223911,2.917218778,8.1358524949,7.0092408944,8.5015233745,2.1132161809,6.8229884761,5.3197683076,1.5666740703,4.1334665636,4.0098532158,4.3403646659,4.5604429392,5.4847408074,5.2970676534,7.9590391408,0.1270950186,0,0,6.0636597915,7.0084369387,0,0,8.9467453815,2.6323706507,0,0.7411450266,11.0243460388,8.7155415674,2.3397160185,0,6.6343039312,0.8944823486,1.6514354145,0,5.7552813185,2.2408830039,0.137810163,0,0,2.1593814951,0
"AGR2",0,0,0,0,0,0,0,0,0,0.4630360568,0,0,0,0,0,0,0,0,0,0,0,0,0.1605294711,0,0,0,0,0,0,0.1855829508,0,0,0,0,0,0,0,0.1517508486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGRN",0.1178991136,0,0,0,0,0.0234815061,0,0,0.0241383568,0.0404840268,0.2513904066,0.0675595231,0,0.1208452995,0,0.1157638429,0.1727442652,0,0.0169152118,0.0084697618,0,0,0,0,0,0.0499811732,0,0.2438053344,0.0206538357,0.0238606651,0.4288904976,0,0,0.2458063882,0.2166893439,0.021969443,0,0.2647043536,0.0249780101,0.204499352,0,0.1324268141,0.1948169258,0,0,0.1186244763,0.2279632039,0.0799124621,0,0,0,0.0222443341,0,0,0,0,0.3372620186
"BDH2",15.2269268186,9.534449566,20.5960008985,18.0048461895,20.182980158,14.2233886354,18.0209060741,27.9091216199,16.7520196147,22.018250088,19.0637724995,21.343804906,16.5278939027,21.8754654317,12.4137138305,12.1209031058,12.4203126656,14.703914039,15.3568979234,15.3472083234,10.6611872309,27.2687858622,21.950175603,20.1237331406,15.9384784637,14.6762899569,23.7126937455,14.659116527,15.5890561943,17.8742893489,18.8024728317,10.2555233819,15.0471201154,15.9315369879,28.192280158,27.6147321578,20.4396464468,16.0410001504,23.7509567527,22.4211268673,14.662941982,20.3619443385,13.3599042803,13.3195562482,11.1673363528,22.6933295052,14.8703832979,16.1062472617,18.8252326047,15.9543517889,17.2615734841,13.7847986199,17.8540145455,20.2154878941,13.6174537977,14.8620170911,12.8333973126
"BDKRB2",0.271680566,0,0,0,0,0,0,0,0.1231056196,0,0,0,0,0.5475031934,0,0,0,0,0,0,0,0.1853443389,0.3388955502,0,0,0,0,0.0615929266,0,0.0424189602,0,0,0,0,0.702442552,0,0,0,0,0,0,0,0,0.1235584282,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEAN1",0,0,0,0,0,0,0,0,0,0.0430142785,0,0,0.0338778913,0.3255424393,0,0,0,0,0,0.0169395235,0,0.1100482012,0.0445915198,0,0.2054878215,0.0340780727,0,0.0359292072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086502353,0,0,0,0,0,0,0
