"hgnc","X1157168","X4157162","X4157177","X5157163","X5157172","X7157165","X7157174","X8157166","X9157167","X9157176"
"GDPD3",21.9754400267342,28.3599905575283,28.7244418306275,28.318939710536,16.388001319419,27.5662400043127,15.606103365467,21.8573232983497,23.1724901999177,26.2804480181426
"METTL22",2.9934526480724,3.82859587851378,3.44433624054537,4.80440854811167,3.87894631042922,3.98495451233126,3.69899530361677,3.95969549383686,3.71497007523392,3.46760777866505
"C5orf51",18.3726366977423,17.031304660572,26.6586059432269,27.3401966555529,22.1069169529734,21.1305505350843,25.436929576036,23.3991194997875,20.6823886865135,16.0719731836149
"DHX57",2.65146991093338,3.70559086360484,3.51918266009643,2.83813945408893,4.13737229163128,4.41535808420192,4.23704488192657,3.85328863489236,3.38884940319138,2.73898810669115
"IGFBP6",1.55944221902364,0.944370709844793,1.00002495335405,3.37322868527583,1.80423307875191,0.748545479357836,3.45516590930224,2.76023931417387,1.61057329443829,1.63797626104178
"TTC39C",2.73929056787601,3.31628783933483,3.72427862860762,3.45874496754126,3.66424636809202,4.53886264751506,4.29534193790031,4.57031620788947,3.19218561352789,2.6263129375367
"PDZD7",0.248207986333072,0.169873093304945,0.150069657062532,0.413969141171947,0.235672815252417,0.301042533811533,0.253796412101682,0.167769290565502,0.0915378910539203,0.265403424223329
"RBM6",9.25294275250794,13.9594835668359,14.0644022096377,12.5318449874991,13.8860799895978,15.5540677444027,11.2755285847597,11.1138220602211,15.8370840984017,10.0612060851622
"HDAC5",44.0297850525292,38.6918691488361,43.7138351573021,40.568671679144,36.3759397820499,35.3588716187935,33.7378746595669,35.108227494604,42.5151596463792,44.1580982787429
"SEC23IP",6.92894230554028,8.43306896092504,9.04028421979771,7.97245863068756,9.39835663712836,10.402560494545,11.4108243819814,10.2221792371941,8.28871129666822,8.04225781539837
"SMAD3",5.42152967682007,5.32717903298816,7.68182817560147,7.73540684454357,6.97944004087384,7.09348133764961,8.1447189338162,9.66597114363471,8.38040304186764,6.23380282706374
"ZC3H13",4.57068109456237,4.85315214891276,6.33030781502333,5.12524869515123,6.18584745359501,5.62627188438995,6.98284434818006,6.2572776100199,6.05562665845541,4.88777872058196
"DIS3L",7.23441643966759,10.0234970434123,9.34028705279325,9.90930630814164,11.5903190325624,10.2542697683533,9.6362453032091,11.5099306668647,10.3032638143455,6.89126078152104
"SMARCE1",34.1091001974108,46.2574075037177,42.2959070360909,44.6512249220893,50.3373451680235,51.6738766009417,50.6389088444463,46.2512158121617,46.362129073597,37.7359142934399
"POT1",1.00051750802014,1.35289791145963,1.14062717734115,1.81128475933409,1.8068414084953,1.94664122805984,1.63943844407514,1.97112547811484,0.96049789448375,0.971502282135222
"UBL7-AS1",3.13032573725917,1.38154203889367,3.13375916909935,2.26063595003531,1.81085171785575,2.08881122187184,2.37828728466955,1.85555309829739,1.29864159709127,2.62498306084829
"FCGRT",355.524404403218,309.021657376265,289.454748436129,329.324747183924,226.64060295412,285.013964773233,178.014656581212,232.083760370486,250.491467055725,266.009997568068
"DFFB",6.15255267095987,6.86086568148816,7.71353847200711,8.11119643092628,9.61618585659908,10.2777816313211,10.120311652963,9.85783104435688,9.05137767450867,7.87697244670589
"GNL3L",5.7948232951165,6.49773306388018,7.08389149508309,6.09752963507649,6.20918548255848,6.98173708403956,5.63801870277371,6.38731660306574,5.86697771897867,4.89511594305301
"C11orf95",8.24088978623224,8.87206673969127,8.42779669753788,9.32071350670891,9.422319344248,8.96279913996379,7.89228403184668,12.4683826025116,7.69256541861745,8.20330752906426
"FTCD",0.0355518179390838,0.344472864811123,0,0.0473243813117135,0,0.0910142606174175,0,0.087551059290931,0.377665640838046,0
"C8orf33",17.8092091723448,25.4000588631146,26.5302339954735,25.0129964301584,28.1218463635182,26.1697506722385,24.9228548965393,28.4709400907773,24.1974690998986,19.8051977445521
"TRAIP",0.478918179783266,0.944650918506421,0.811664517358504,0.887955150467543,0.870721606723665,0.722495036997172,0.788254112300937,0.821367462938487,0.625846947756572,0.754554993987668
"RIOK3",21.6224478782632,21.2069910497232,30.4701995481061,22.926641984784,27.2113675306772,26.8128716595794,28.2781796742852,27.5168916357856,23.5007209852923,24.7296533283084
"BBS1",6.28042867296497,8.33586305625894,7.48706793506527,7.98280561078637,8.72801559188174,8.49162220813571,9.3072604201984,8.62942466533852,9.05757343288284,8.07529438411063
"ZNF518A",2.89328939147122,2.33105475442112,3.54024818430945,6.47232067267748,3.75618560708401,4.5705915772532,4.33164228442908,5.44127522292531,2.21192571941763,3.02569666645298
"HERC2P4",1.09304913438683,1.15365263808673,1.23578432421014,1.56089532532439,1.11435009097386,1.08389628569362,1.48956813200836,1.21495875604272,1.47642447446604,1.03326814947535
"LUZP1",1.71924929661195,2.30844237930513,2.57796324496177,2.62131607555061,2.4648630675671,2.62514105451011,3.63516905603423,3.05919747263149,3.10714706131588,1.96122922132817
"LIMD1-AS1",2.33989065197318,2.42978207882269,3.76237887500488,6.59525966433593,7.69213301191411,8.05458650521894,2.47373165628465,4.80267405155665,3.86525737798275,4.11292515259594
"TRIM51",2.23969061178127,0.980768751573498,2.23456474475017,2.07683644986712,2.26444465753441,2.70858407523808,1.90673896892609,4.60758218855331,2.74440610990071,3.10456809606067
"PVRIG",140.414941463024,225.347744081265,199.823119019657,250.234268002424,183.376836869788,228.171136137867,266.656257134596,244.615419548194,278.403212815089,191.970376979848
"ANP32E",10.5999972810703,16.1769653827994,16.8466560654442,18.2389590188886,18.7235332817375,22.4756276431133,22.5973641865836,17.2365426160292,12.5751580434033,10.4822193409226
